,TestDates,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,Total
28,2027-08-01,3947522.7806631546,1078363.028624102,1020467.9939392542,2475.311404003083,32205586.934409607,357028.08198313566,1415658.9024659998,29877.75576356106,63008.97878344447,4591.875430372201,1851.9779352401076,39501052.400612324
29,2027-09-01,4188447.607631729,1058824.281495407,1011605.4111607784,2646.7871456977336,29265848.337809123,359065.2660949253,1411667.3954531928,28388.825896560207,62045.05401561974,4533.330876465015,1850.7067559889715,36626445.36446197
30,2027-10-01,4098583.095058321,1040210.0117311034,945467.4277390479,2904.137303732158,25275400.32739249,362553.4853407512,1411263.578094971,26151.336894427146,55327.14386842989,3858.09543255436,1814.5983326758299,35212599.47442475
31,2027-11-01,4238703.781236299,1032921.8366502099,914276.7659790596,3180.797857913316,18597634.509441905,361638.98434832174,1404498.5700069957,24885.429892713015,59239.93904460159,4348.007638905575,1953.575376295771,26206590.916091792
32,2027-12-01,3605220.660057524,977580.301686292,920931.8301787282,2726.132122155789,25307910.80666516,389773.08227618074,1393004.0112284822,25879.92765364031,55987.8373763535,4226.436837197681,2013.352077890108,32832441.893959474
33,2028-01-01,3697487.219146347,983576.3473201233,953119.2084815627,2505.6182745291662,48262908.55077496,364173.8821553654,1399191.5481558533,21109.458309376172,51732.94793228574,4114.66248583974,1773.7478643949771,52991738.475208186
34,2028-02-01,3393188.564230615,974449.9414362898,970103.487503437,3278.170390071208,41841752.42403102,377733.5705893022,1399494.2949810843,20232.397176527375,58789.924346114465,8821.920725768503,1884.451863797496,47560677.415043026
35,2028-03-01,3487422.001137519,958693.3747696335,893850.2234091979,2975.8456888283176,45134203.60816302,366010.4518025975,1446544.2067343448,28979.412883001045,56178.792125144835,3874.6650192586067,1813.9225787503663,52519660.853586584
36,2028-04-01,4013976.6802337943,1042566.4399353764,907787.0207617094,3271.841760009835,43841594.62385392,364093.8674714647,1397769.4874558938,17774.80569330614,50831.01212778845,3916.788044008399,2013.3516698530502,51901526.930476725
37,2028-05-01,4056585.1158966487,1027825.4752132255,883426.8532597219,2857.5352328263457,29691471.112606082,365435.1595441987,1394115.187104087,16234.016620737231,31143.406370412304,4037.4557339532807,2030.0977299122728,35370141.82428142
38,2028-06-01,4195536.498644794,1032983.8749660039,912862.2385047161,3512.6015597118803,27909407.267265458,363195.5710203079,1390439.0231669154,15863.59304435275,36362.04118064671,3707.530398313783,2260.1240326896395,35903856.58339671
39,2028-07-01,3979455.2371698976,995493.405625416,887841.78852006,2803.4199243931207,32202444.77267067,363804.0659266538,1389568.3297690777,15029.454905011044,44356.76419578473,2530.730772950955,2185.1246560882137,40408839.44173514
40,2028-08-01,3786662.057123526,1047634.4490773164,897771.3426089805,3165.2207599324365,34608933.003070824,365307.77164933295,1384408.9798919454,12421.912544596435,50792.33879664395,3326.4426059048933,2452.874431204038,41347305.92220965
41,2028-09-01,4023951.3732853956,1009054.1673172113,922675.6285414903,3087.4967931027136,32213768.901691675,367053.32471692126,1381202.1416159526,8764.487511900823,43489.68382566164,3225.66653004504,2497.1802332555903,39273127.176762946
42,2028-10-01,3939620.391488494,991813.4424607097,831805.4520925622,2944.495491672552,25289377.04833941,369387.5898351567,1380230.9247912988,6660.302674006036,38360.72630255378,3086.824302873043,2492.8825118862446,37242366.67501516
43,2028-11-01,3992409.053759678,962806.7684936426,799060.0131026227,3257.9722494555035,24846735.382485434,365536.5044550558,1374394.5657935927,32925.128883676065,43069.50410709558,3067.450756488217,2569.409328203657,31643943.139216185
44,2028-12-01,3386919.7067280514,920204.5744100416,817135.8580108731,3255.302397460986,24603610.828723367,367917.7383847088,1372246.5672762287,22733.07523424118,39757.447205343015,2921.0386801948544,2638.6347436790616,31449698.45713377
45,2029-01-01,3460926.821259791,949828.0413951237,823023.7097363431,3171.0860773137792,37660584.08279044,369311.33482734533,1365397.459771328,39910.98124313917,33854.14404444331,2740.9121769445,2323.3785679105576,45040597.80933336
46,2029-02-01,3251761.2750768205,922174.1152857607,796263.0832598588,3018.7224510082333,41887937.77676283,370985.45949505415,1369346.6174522492,72042.26235430957,43531.029282959884,7129.499672191168,2496.5687246782463,47607990.853223965
47,2029-03-01,3347892.754989061,925272.0056898907,772609.5823480396,3671.0409836753947,46040841.44356634,373812.9569821392,1420582.5434438335,378188.6450669322,42198.51439916127,2509.553587017886,2464.739825081434,52815791.81850013
48,2029-04-01,3831733.6724809543,1047315.683755198,795660.2526824734,3697.3299811359684,43975871.80767134,373682.16591667465,1364989.7845666653,-11533.790947472251,34325.05944237361,2846.7427114366487,2525.449931765258,52238226.71380144
49,2029-05-01,3953913.107641643,984462.1108247937,781460.4189803789,3228.493370535349,30293456.808558423,371072.634485119,1364297.1338540802,-9196.307831494774,14289.296618495864,2142.4250961408065,2519.99409771592,37235733.048631184
50,2029-06-01,4080466.8817203934,989793.1758401627,803310.3302005632,3192.889038973434,30992137.273136966,372074.2317865173,1359137.746339443,-3595.4638006292244,21254.988318330332,2285.0253770455615,2824.6585210994144,37860618.509850524
51,2029-07-01,3824260.0813749093,954903.9151790887,774658.9690093328,3354.4596170446966,35700450.94589485,372267.3498580061,1359358.960329151,-4968.43948137736,25884.872725916874,1712.9362351209538,2678.236492520468,42339639.88970167
52,2029-08-01,3712367.184987491,982640.1427137813,802543.6509087553,3702.737052818853,38451328.40759672,371892.9918287079,1352537.3187400815,12794.140659034054,33065.48293181293,1800.7443994572322,2936.53020293446,41935120.98944198
53,2029-09-01,3850192.0694786003,970539.7584795807,768089.363230765,3251.592769500792,33679146.31470453,372435.1365374193,1349666.6007021416,-6038.774713615998,28341.09111692137,1972.26169159243,2875.7399752449364,41357672.08958855
54,2029-10-01,3814101.1147429114,933859.659846149,713500.4682325798,3740.622457354915,28478783.83590486,369530.9833168824,1348888.2771173918,-7865.165531817725,21330.70553085496,1655.9988562142264,2977.379399406094,38227821.48558579
55,2029-11-01,3741935.7661313964,901630.3575105959,692284.1520925952,3693.846762320991,26322703.8773438,372804.312876134,1343266.5375422298,16093.479157519017,25956.12720712504,1990.1781072264835,3048.4162224550623,33848791.66487442
56,2029-12-01,3262736.905518032,869096.0991095826,709660.5536113688,3305.720305214246,26629870.39822967,377954.6312097651,1340969.9919460963,-7722.874920117415,26053.41573915345,1630.433972745798,3177.199952619299,34320813.25644035
57,2030-01-01,3339525.2346085636,881109.4598097631,725987.7346612436,3043.019430635099,41733013.159470454,378489.50334651367,1334960.1691260736,-13351.137130336385,18057.852650002424,1541.4519358994603,2970.097887188124,48277329.63251637
58,2030-02-01,3095826.0226966236,866843.1016963847,751372.2645031234,3312.170607804967,44174331.920061804,378818.1496649064,1338016.7910180155,-12258.305293737812,24457.559493386274,1411.5896857690725,3087.62981121282,50045775.504141994
59,2030-03-01,3193964.959314613,854101.7617665203,695612.4414564722,3985.2554940076707,48687278.274761975,380779.6788172228,1389346.621976493,103644.06249381926,26187.930882165583,814.4325587605124,3080.482767011646,55185338.72263148
