TestDates,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,Total,kWh
2027-07-01,4497287.022352467,1379182.0266773533,1430744.3247346468,2690.17558694247,36346582.01483034,338256.27408220095,1563898.7591717578,58210.9982341744,119346.67076726799,7059.62963149604,314.20937407590236,46053278.06328348,53885787.099108756
2027-08-01,4446901.545895561,1411626.8663004937,1455069.3125603069,2475.372330358577,35024063.65279564,333999.6465526228,1565778.6485013962,59109.65996055303,124146.46921358461,6950.713752089412,494.23351571932324,44556569.35054966,51827279.1433782
2027-09-01,4573671.557384793,1429997.304370809,1471119.9816363927,2617.830647621841,32492429.601147253,334379.09449191496,1567338.2407495955,58459.88462664095,121094.45995090588,6910.143849320268,430.525422393677,43275909.80362154,50510308.84100473
2027-10-01,4554421.7928688,1420129.4991416032,1394859.70608845,2643.8309182382236,29271896.71830146,345246.8352189613,1571331.4711297976,59094.05362384642,117314.08498520617,6371.488270769197,456.75009197799193,38516866.82162443,44857767.82353431
2027-11-01,4701557.5196118,1424457.1492825714,1374257.556003524,3010.83180285089,22480522.223526143,338863.1851292692,1572065.969477074,58745.03121978023,124503.53533273804,6991.896003946634,520.7254380858869,32248420.185490675,37659074.32668288
2027-12-01,4172585.287720209,1387559.49846127,1412031.533906575,2709.2844715996075,29392084.82235926,359718.3291441635,1569018.730027912,56985.76019470031,124207.42356064169,6966.263977662091,506.1864707996534,38163252.71345,45423955.2559195
2028-01-01,4244701.584549848,1399094.2793672788,1470613.5736182942,2466.1150423972945,50163319.36318191,337163.6329582485,1577493.0146912984,56321.419255362096,122390.9184195971,7035.471300016944,192.70044183328955,58237228.75334638,67345111.98465937
2028-02-01,3978558.6985175502,1407310.445975402,1483060.7756916666,3121.122865679555,43849019.961885996,352867.05366785225,1585889.154880464,57936.5274719465,129615.2466786873,11184.039387398487,254.92918053433942,52908247.47452672,60710384.6252795
2028-03-01,4098597.316645879,1404168.2219019015,1444678.9533018083,2731.5758330129393,48732798.97132208,336011.9506116322,1614049.6241700887,66624.9218045295,131318.86144338662,7260.400673451755,225.75404727376392,57550503.139373474,67586582.21594535
2028-04-01,4616473.848677954,1504467.8378173565,1472300.7018654004,3037.367616602498,47738200.21248536,333892.5599927285,1590988.7738558038,57266.74364845703,129145.33380727016,7067.041703751228,260.9095262556528,57467051.74769506,66495224.80724533
